position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
10,Twitch,2.0,adc,51.15,4.87,4.62,6,828333,all,2.0,2.0,"['Nilah', 'Seraphine', 'Swain', 'Yasuo', 'Vayne']","['45.83', '47.12', '47.85', '47.99', '49.51']","['9533', '4219', '2299', '8590', '57442']","['Aphelios', 'Sivir', 'Zeri', 'Xayah', ""Kai'Sa""]","['55.48', '54.57', '54.43', '52.69', '52.55']","['19180', '13450', '9998', '22862', '69090']",2.0
11,Brand,2.333,adc,52.02,0.28,7.77,1,47953,all,2.0,,"['Veigar', 'Seraphine', 'Swain', 'Yasuo', 'Ziggs']","['43.29', '47.27', '48', '48.15', '49.35']","['231', '275', '175', '596', '697']","['Xayah', ""Kog'Maw"", 'Draven', 'Lucian', 'Aphelios']","['54.86', '54.55', '54.37', '53.63', '53.27']","['1307', '308', '1442', '2316', '978']",2.1665
12,Ziggs,2.333,adc,51.94,2.34,2.86,5,398562,all,3.0,2.0,"['Vayne', 'Seraphine', 'Yasuo', 'Twitch']","['48.08', '48.54', '49.21', '49.5']","['19055', '1821', '4194', '8954']","['Aphelios', 'Xayah', ""Kog'Maw"", 'Caitlyn', 'Varus']","['54.85', '54.64', '53.84', '53.47', '53.29']","['8432', '11536', '2240', '44541', '20047']",2.4443333333333332
13,Heimerdinger,2.333,adc,51.82,0.2,1.66,0,33359,all,2.0,,"['Ziggs', 'Sivir', 'Yasuo', 'Seraphine', ""Kog'Maw""]","['44.82', '46.37', '47.36', '47.53', '49.54']","['473', '578', '454', '162', '218']","['Swain', 'Xayah', ""Kai'Sa"", 'Tristana', 'Aphelios']","['57.28', '55.32', '55.25', '54.35', '53.74']","['103', '864', '2650', '1047', '681']",2.1665
14,Tahm Kench,2.666,adc,53.73,0.28,1.85,1,47748,all,2.0,,['Vayne'],['49.97'],['2872'],"['Aphelios', 'Ezreal', 'Tristana', 'Samira', 'Draven']","['60.02', '56.43', '56.06', '55.44', '55.28']","['963', '4480', '1081', '1737', '1042']",2.333
15,Seraphine,2.666,adc,53.06,0.69,1.19,2,117983,all,2.0,3.0,[],[],[],"['Xayah', 'Aphelios', 'Varus', ""Kog'Maw"", 'Caitlyn']","['57.72', '55.54', '55.29', '54.75', '54.66']","['3179', '2663', '5629', '906', '12361']",2.5553333333333335
16,Nilah,2.666,adc,51.71,1.82,3.73,3,309959,all,3.0,3.0,"['Swain', 'Veigar', 'Seraphine', 'Ziggs', 'Xayah']","['43.46', '45.2', '47.48', '48.46', '48.49']","['872', '1177', '1133', '3207', '9323']","['Yasuo', ""Kai'Sa"", 'Zeri', 'Aphelios', 'Kalista']","['55.71', '55.55', '55.27', '54.65', '54.64']","['3768', '28189', '3510', '6033', '3814']",2.888666666666667
17,Aurelion Sol,2.666,adc,53.24,0.1,1.21,0,17051,all,2.0,,"['Seraphine', 'Xayah', 'Veigar', 'Twitch', 'Vayne']","['46.88', '48.19', '48.33', '48.58', '48.85']","['96', '552', '120', '564', '1169']","[""Kog'Maw"", 'Varus', 'Jinx', 'Aphelios', 'Zeri']","['58.49', '55.25', '54.67', '54.63', '54.35']","['159', '838', '1264', '432', '230']",2.333
18,Draven,2.666,adc,49.35,4.65,11.34,-3,790878,all,3.0,3.0,"['Swain', 'Seraphine', 'Yasuo', 'Veigar', 'Nilah']","['43.82', '45.47', '45.64', '46.57', '47.32']","['2549', '3851', '8286', '2931', '8565']","['Zeri', ""Kai'Sa"", 'Xayah', 'Aphelios', 'Kalista']","['53.81', '52.15', '52.05', '51.86', '50.92']","['8941', '65338', '23630', '17897', '11611']",2.888666666666667
19,Veigar,3.0,adc,51.88,0.69,3.23,1,117920,all,2.0,4.0,"['Seraphine', 'Swain', 'Twitch', 'Ziggs', 'Sivir']","['47.46', '49.61', '49.62', '49.71', '49.98']","['611', '381', '3424', '1720', '2233']","['Nilah', 'Xayah', ""Kai'Sa"", 'Samira', 'Draven']","['54.8', '54.57', '53.75', '53.6', '53.43']","['1177', '3368', '9302', '4666', '2931']",3.0
20,Kalista,3.0,adc,48.95,2.78,1.61,-3,473660,all,4.0,5.0,"[""Kog'Maw"", 'Swain', 'Nilah', 'Miss Fortune', 'Vayne']","['44.7', '44.86', '45.36', '45.83', '46.96']","['2944', '1380', '3814', '23871', '23068']","['Yasuo', 'Zeri', ""Kai'Sa"", 'Aphelios']","['52.55', '52.08', '51.33', '50.74']","['3749', '6006', '46509', '10571']",4.0
21,Miss Fortune,3.0,adc,51.35,12.58,4.09,18,2140836,all,2.0,1.0,"['Swain', 'Ziggs', 'Seraphine', 'Veigar', 'Yasuo']","['44.99', '47.21', '48.75', '48.82', '49.2']","['5512', '26773', '7524', '9091', '23863']","['Kalista', 'Aphelios', ""Kai'Sa"", 'Xayah', 'Zeri']","['54.17', '54.11', '53.35', '53.21', '52.62']","['23871', '44108', '169920', '56126', '22344']",2.0
22,Kog'Maw,3.0,adc,51.41,1.3,0.37,2,221431,all,3.0,3.0,"['Seraphine', 'Ziggs', 'Veigar', 'Vayne', 'Nilah']","['45.25', '46.16', '48.37', '49.6', '49.72']","['906', '2240', '767', '13229', '1957']","['Kalista', ""Kai'Sa"", 'Zeri', 'Xayah', 'Swain']","['55.3', '55.06', '54.55', '53.61', '53.28']","['2944', '18918', '2673', '5945', '595']",3.0
23,Varus,3.333,adc,49.67,9.3,2.72,-3,1581478,all,3.0,3.0,"['Seraphine', 'Ziggs', 'Veigar', 'Swain', 'Miss Fortune']","['44.71', '46.71', '47.11', '47.76', '47.86']","['5629', '20047', '4678', '4648', '91643']","['Aphelios', ""Kai'Sa"", 'Zeri', 'Xayah', 'Kalista']","['52.7', '52.17', '52.04', '51.27', '50.51']","['38433', '148124', '19499', '52546', '27326']",3.111
24,Samira,3.333,adc,49.84,8.16,21.38,-2,1388471,all,2.0,3.0,"['Swain', 'Veigar', 'Nilah', 'Seraphine', 'Ziggs']","['42.18', '46.4', '46.42', '47.24', '47.34']","['4602', '4666', '22447', '4384', '16539']","[""Kai'Sa"", 'Aphelios', 'Zeri', 'Tristana', 'Draven']","['53.39', '53.34', '51.99', '51.97', '51.61']","['135438', '31209', '18047', '35788', '33154']",2.7776666666666667
25,Quinn,3.333,adc,49.44,0.09,1.75,0,15110,all,2.0,,"['Veigar', 'Swain', 'Ziggs', 'Yasuo', 'Xayah']","['39.39', '42', '45.26', '46.43', '46.54']","['66', '50', '190', '224', '462']","['Sivir', 'Jinx', ""Kai'Sa"", ""Kog'Maw"", 'Zeri']","['54.05', '52.06', '51.82', '51.55', '51.49']","['296', '1191', '1403', '97', '202']",2.6665
26,Xayah,3.333,adc,48.59,6.3,2.36,-9,1071922,all,3.0,4.0,"['Seraphine', 'Swain', 'Ziggs', 'Veigar', ""Kog'Maw""]","['42.28', '43.13', '45.36', '45.43', '46.39']","['3179', '3295', '11536', '3368', '5945']","[""Kai'Sa"", 'Nilah', 'Zeri', 'Samira', 'Aphelios']","['51.84', '51.51', '51.44', '51', '50.51']","['134085', '9323', '13749', '57526', '24928']",3.4443333333333332
27,Kai'Sa,3.333,adc,48.09,17.09,4.4,-34,2907298,all,2.0,3.0,"['Swain', 'Nilah', ""Kog'Maw"", 'Seraphine', 'Veigar']","['42.63', '44.45', '44.94', '46.05', '46.25']","['8946', '28189', '18918', '9019', '9302']",['Zeri'],['50.46'],['39687'],2.7776666666666667
28,Akshan,3.666,adc,49.26,0.14,2.88,0,23141,all,3.0,,"['Seraphine', 'Veigar', 'Miss Fortune', 'Samira', 'Vayne']","['41.74', '42.11', '46.44', '47.26', '47.39']","['115', '95', '1938', '931', '1458']","['Zeri', 'Ziggs', 'Sivir', ""Kai'Sa"", 'Ashe']","['55.59', '54.67', '54.01', '52.1', '51.71']","['295', '289', '387', '2073', '1605']",3.333
29,Aphelios,3.666,adc,47.89,4.42,1.04,-9,752726,all,5.0,5.0,"['Swain', 'Seraphine', 'Twitch', 'Ziggs', 'Nilah']","['44.19', '44.46', '44.52', '45.15', '45.35']","['2118', '2663', '19180', '8432', '6033']","['Zeri', ""Kai'Sa""]","['51.82', '50.78']","['10307', '68040']",4.5553333333333335
30,Senna,3.666,adc,47.88,0.44,7.59,-1,74335,all,4.0,,"['Swain', 'Ziggs', 'Seraphine', 'Varus', 'Veigar']","['35.9', '38.29', '39.6', '41.33', '42.11']","['234', '969', '351', '3375', '342']",[],[],[],3.833
31,Cho'Gath,4.0,adc,49.81,0.1,0.9,0,16706,all,5.0,,"['Swain', 'Zeri', 'Sivir', 'Vayne', 'Jhin']","['37.1', '46.19', '46.5', '46.53', '46.84']","['62', '197', '243', '1124', '1330']","['Yasuo', 'Samira', 'Veigar', 'Draven', 'Aphelios']","['57.85', '56.25', '53.85', '52.85', '52.58']","['242', '704', '65', '439', '388']",4.5
32,Lucian,4.0,adc,49.8,11.06,3.26,-2,1881584,all,2.0,2.0,"['Swain', 'Seraphine', 'Veigar', 'Ziggs', 'Miss Fortune']","['46.02', '46.25', '46.61', '47.48', '48.16']","['5865', '5038', '5323', '23498', '103389']","['Zeri', ""Kai'Sa"", 'Aphelios', 'Xayah', 'Sivir']","['53.45', '52.24', '51.81', '51.43', '51']","['24841', '208157', '44935', '72845', '30061']",2.6666666666666665
33,Twisted Fate,4.0,adc,49.02,0.08,0.23,0,14396,all,4.0,,"['Swain', 'Ashe', 'Miss Fortune', 'Samira', 'Aphelios']","['26.67', '45.87', '46.46', '46.47', '47.13']","['45', '1077', '1326', '624', '348']","['Veigar', ""Kai'Sa"", 'Kalista', 'Jhin', 'Lucian']","['59.09', '54.18', '52.51', '50.99', '50.67']","['88', '1434', '179', '1520', '817']",4.0
34,Hwei,4.0,adc,44.83,0.6,22.65,-4,102818,all,5.0,,"['Seraphine', 'Vayne', 'Ziggs', 'Jhin', 'Sivir']","['41.03', '41.21', '41.44', '42.22', '42.36']","['702', '6515', '1431', '9560', '1707']",[],[],[],4.5
35,Caitlyn,4.333,adc,49.67,19.02,14.3,-7,3235702,all,2.0,2.0,"['Swain', 'Seraphine', 'Ziggs', 'Veigar', 'Jhin']","['45.1', '45.34', '46.53', '46.95', '47.87']","['8942', '12361', '44541', '12343', '340126']","['Zeri', 'Xayah', 'Aphelios', ""Kai'Sa"", 'Lucian']","['52.58', '52.1', '51.7', '51.48', '51.27']","['33818', '94046', '75078', '263768', '187504']",2.7776666666666667
36,Tristana,4.333,adc,49.33,5.79,2.82,-4,984247,all,3.0,3.0,"['Swain', 'Nilah', 'Ziggs', ""Kog'Maw"", 'Veigar']","['45.18', '45.54', '46.87', '47.24', '47.31']","['2189', '10377', '10026', '6725', '3623']","['Aphelios', 'Zeri', 'Kalista', 'Xayah', ""Kai'Sa""]","['52.05', '51.91', '50.89', '50.71', '50.56']","['17609', '9799', '11011', '26108', '79214']",3.4443333333333332
37,Sivir,4.666,adc,49.68,3.4,0.9,-1,578278,all,3.0,4.0,"['Twitch', 'Vayne', 'Swain', 'Seraphine', ""Kog'Maw""]","['45.43', '45.83', '46.71', '47.28', '47.99']","['13450', '29980', '1625', '1986', '3230']","[""Kai'Sa"", 'Xayah', 'Aphelios', 'Ezreal', 'Tristana']","['51.76', '51.6', '51.01', '51', '51']","['50980', '18266', '11696', '71717', '15013']",3.888666666666667
38,Teemo,4.666,adc,48.94,0.17,10.21,0,28287,all,5.0,,"['Nilah', 'Swain', 'Ziggs', 'Samira', 'Jhin']","['41.39', '43.9', '44.07', '45.15', '45.49']","['273', '82', '354', '1154', '2051']","['Seraphine', 'Zeri', 'Tristana', 'Twitch']","['54.26', '52.46', '52.27', '50.06']","['94', '284', '1079', '775']",4.833
39,Vel'Koz,5.0,adc,48.81,0.07,0.57,0,12130,all,3.0,,"['Twitch', 'Swain', 'Seraphine', 'Zeri', 'Jhin']","['40.89', '41.3', '44.07', '44.07', '44.19']","['384', '46', '59', '118', '989']","['Nilah', 'Samira', 'Draven', 'Xayah', 'Varus']","['56.07', '53.1', '52.1', '51.79', '51.52']","['107', '467', '357', '307', '526']",4.0
40,Zeri,5.333,adc,47.32,2.32,0.51,-6,395312,all,5.0,5.0,"['Vayne', 'Nilah', ""Kog'Maw"", 'Twitch', 'Swain']","['44.27', '44.73', '45.45', '45.57', '45.77']","['22259', '3510', '2673', '9998', '1169']",[],[],[],5.111
41,Corki,5.333,adc,46.95,0.06,0.12,0,10383,all,5.0,,"['Swain', ""Kog'Maw"", 'Sivir', 'Twitch', 'Vayne']","['40.63', '40.63', '41.36', '42.57', '42.86']","['32', '64', '162', '249', '546']","['Zeri', 'Lucian', 'Xayah', 'Nilah', 'Yasuo']","['52.17', '51.62', '51.42', '51.39', '51.2']","['115', '525', '317', '72', '125']",5.1665
1,Rakan,0.666,support,51.41,7.03,3.44,10,1196555,all,1.0,1.0,"['Zyra', 'Senna', 'Zilean', 'Morgana', 'Renata Glasc']","['48.36', '48.66', '48.7', '48.92', '48.98']","['35810', '68319', '12960', '46789', '22932']","['Hwei', 'Miss Fortune', 'Yuumi', 'Malphite', 'Pantheon']","['59.39', '57.34', '56.3', '55.49', '54.8']","['17895', '5173', '30363', '5212', '12640']",0.8886666666666666
2,Janna,0.666,support,51.9,3.97,0.84,8,675325,all,1.0,2.0,"['Maokai', 'Zyra', 'Sona', 'Senna', 'Soraka']","['48.68', '48.68', '49.13', '49.8', '49.99']","['5830', '23645', '11528', '44460', '20398']","['Hwei', 'Miss Fortune', 'Ziggs', 'Veigar', 'Malphite']","['61.87', '57.57', '56.81', '55.33', '55.09']","['9987', '2161', '1322', '1970', '2407']",1.222
3,Taliyah,1.0,support,51.93,0.13,1.01,0,22518,all,2.0,,"['Zilean', ""Vel'Koz"", 'Pyke', 'Twitch', 'Heimerdinger']","['43.37', '45.42', '47.13', '47.25', '47.26']","['249', '240', '732', '91', '146']","['Veigar', 'Galio', 'Malphite', 'Hwei', 'Alistar']","['61.76', '60.56', '59.77', '59.76', '59.3']","['68', '71', '87', '338', '489']",1.5
4,Sylas,1.0,support,50.99,0.77,19.95,1,130987,all,2.0,,"['Braum', 'Taric', 'Galio', 'Teemo', 'Janna']","['44.42', '44.52', '44.71', '45.7', '46.03']","['1380', '575', '331', '558', '2522']","['Hwei', 'Miss Fortune', 'Malphite', 'Veigar', 'Ashe']","['61.24', '61.07', '57.3', '56.76', '53.97']","['1899', '745', '932', '481', '3372']",1.5
5,Poppy,1.0,support,51.84,0.33,2.3,1,56183,all,2.0,,"['Teemo', 'Maokai', 'Taric', 'Soraka', 'Zilean']","['44.5', '45.04', '45.8', '46.88', '47.39']","['209', '464', '286', '1171', '498']","['Hwei', 'Galio', 'Malphite', 'Miss Fortune', 'Twitch']","['60.79', '59.51', '58.33', '58.13', '57.34']","['686', '163', '276', '246', '218']",1.5
6,Bard,1.333,support,50.55,2.79,0.43,2,475151,all,2.0,3.0,"['Teemo', 'Zyra', 'Brand', 'Maokai', 'Morgana']","['46.52', '47.47', '48.17', '48.57', '48.58']","['1784', '17490', '11607', '4480', '17942']","['Hwei', 'Miss Fortune', 'Veigar', 'Ashe', 'Yuumi']","['59.15', '57.73', '53.85', '53.47', '53.03']","['7471', '1644', '1573', '11492', '11293']",2.111
7,Zac,1.333,support,52.47,0.45,1.29,1,76852,all,2.0,,"['Renata Glasc', 'Morgana', 'Janna', 'Sona', 'Soraka']","['46.98', '48.32', '48.44', '49.12', '49.51']","['1175', '2357', '1982', '741', '1745']","['Hwei', 'Miss Fortune', 'Yuumi', 'Nautilus', 'Tahm Kench']","['62.61', '59.6', '57.17', '56.33', '56.25']","['1134', '396', '1987', '3955', '336']",1.6665
8,Xerath,1.333,support,52.36,6.8,16.6,19,1156446,all,1.0,1.0,"['Maokai', 'Taric', 'Janna', 'Sona', 'Milio']","['47.86', '48.83', '49.42', '49.59', '49.67']","['10182', '4458', '21132', '13389', '19715']","['Hwei', 'Miss Fortune', 'Veigar', 'Ziggs', 'Malphite']","['61.83', '58.45', '57.66', '55.41', '54.69']","['18600', '8364', '4622', '4068', '6067']",1.111
9,Zyra,1.666,support,52.96,6.42,7.98,21,1093024,all,1.0,1.0,"['Shaco', 'Xerath', 'Maokai', 'Teemo']","['48.77', '49.31', '49.74', '49.95']","['7342', '42247', '9262', '4553']","['Hwei', 'Veigar', 'Miss Fortune', 'Lulu', 'Pantheon']","['61.54', '58.27', '57.44', '54.73', '54.66']","['17554', '4383', '6629', '31590', '11171']",1.222
10,Senna,1.666,support,50.23,11.12,7.59,3,1892232,all,1.0,1.0,"['Zyra', 'Xerath', 'Amumu', ""Vel'Koz"", 'Maokai']","['46.17', '46.92', '47.77', '48.39', '48.41']","['74255', '71678', '7471', '24143', '15772']","['Hwei', 'Miss Fortune', 'Malphite', 'Lulu', 'Yuumi']","['59.05', '55.66', '53.47', '53.38', '53.29']","['31347', '9508', '10184', '56588', '50535']",1.222
11,Brand,1.666,support,51.51,5.33,7.77,9,906290,all,2.0,2.0,"['Xerath', 'Zyra', 'Shaco', 'Maokai', 'Janna']","['46.85', '47.6', '47.89', '48.29', '48.5']","['31597', '35571', '5534', '7333', '15529']","['Hwei', 'Veigar', 'Miss Fortune', 'Malphite', 'Swain']","['59.64', '56.16', '54.99', '54.94', '54.55']","['14310', '3768', '4517', '5673', '22555']",1.8886666666666667
12,Blitzcrank,1.666,support,50.88,8.52,32.26,11,1448994,all,1.0,1.0,"['Taric', 'Leona', 'Rakan', 'Alistar', 'Braum']","['46.3', '47.58', '47.67', '47.72', '47.74']","['10283', '71252', '66503', '53259', '25869']","['Hwei', 'Miss Fortune', 'Yuumi', 'Ashe', 'Veigar']","['59.85', '55.71', '55.39', '54.62', '54.53']","['19137', '7527', '35838', '30980', '5828']",1.222
13,Soraka,1.666,support,51.3,4.59,1.44,6,780132,all,2.0,2.0,"['Maokai', 'Zyra', 'Blitzcrank', 'Shaco', 'Sona']","['48.29', '48.52', '48.71', '49.53', '49.62']","['7066', '30949', '29596', '5348', '12964']","['Hwei', 'Miss Fortune', 'Veigar', 'Twitch', 'Pantheon']","['60.93', '56.95', '55.28', '54.67', '54.61']","['12406', '3410', '2793', '3353', '8635']",1.8886666666666667
14,Shaco,2.0,support,51.64,1.32,28.13,3,224030,all,2.0,3.0,"['Janna', 'Milio', 'Senna', 'Sona', 'Lulu']","['46.71', '47.71', '48.35', '48.72', '48.92']","['4708', '4232', '11970', '2570', '6324']","['Hwei', 'Miss Fortune', 'Veigar', ""Vel'Koz"", 'Pyke']","['60.58', '59.84', '54.85', '54.29', '54.01']","['3364', '1260', '835', '2343', '8178']",2.3333333333333335
15,Lux,2.0,support,50.16,14.79,16.2,3,2516001,all,1.0,1.0,"['Xerath', 'Maokai', 'Zyra', 'Shaco', 'Blitzcrank']","['46.21', '46.76', '47.16', '47.34', '47.82']","['115443', '19948', '100159', '17131', '109792']","['Hwei', 'Veigar', 'Miss Fortune', 'Malphite', 'Seraphine']","['57.96', '53.91', '53.43', '52.35', '52.28']","['43571', '12157', '16506', '17757', '72216']",1.3333333333333333
16,Taric,2.0,support,51.79,1.1,0.23,2,187097,all,2.0,3.0,"['Janna', 'Bard', 'Morgana', 'Teemo', 'Zyra']","['47.74', '48.24', '48.52', '48.56', '48.63']","['4600', '2952', '7451', '696', '5934']","['Miss Fortune', 'Hwei', 'Pantheon', 'Nautilus', 'Yuumi']","['61.1', '60.06', '56.25', '55.87', '55.75']","['545', '2564', '2272', '12502', '4176']",2.3333333333333335
17,Zilean,2.0,support,51.31,1.86,0.48,2,316166,all,2.0,3.0,"['Shaco', 'Janna', 'Zyra', 'Galio', 'Sona']","['48.22', '48.23', '48.45', '48.57', '49.33']","['2252', '8768', '11997', '875', '4249']","['Hwei', 'Miss Fortune', 'Veigar', 'Malphite', 'Rell']","['59.64', '57.26', '56.9', '56.38', '54.12']","['4876', '1350', '1160', '1355', '4069']",2.3333333333333335
18,Renata Glasc,2.0,support,51.46,2.51,0.97,4,427029,all,2.0,3.0,"['Xerath', 'Zyra', 'Milio', 'Soraka', 'Janna']","['47.45', '48.23', '48.28', '48.68', '48.84']","['12670', '13232', '10902', '10407', '11366']","['Hwei', 'Miss Fortune', 'Pantheon', 'Malphite', 'Nautilus']","['59.59', '55.71', '55.5', '55.47', '54.79']","['6132', '1612', '4769', '1754', '25074']",2.3333333333333335
19,Alistar,2.0,support,50.41,4.02,1.74,2,684636,all,2.0,2.0,"['Janna', 'Swain', 'Renata Glasc', 'Brand', 'Senna']","['45.91', '46.24', '47.15', '47.59', '47.67']","['16302', '13489', '10400', '14767', '33920']","['Miss Fortune', 'Hwei', 'Yuumi', 'Malphite', 'Pantheon']","['58.43', '56.7', '55.12', '54.64', '54.1']","['2682', '9244', '15470', '3212', '8063']",2.0
20,Maokai,2.0,support,52.7,1.6,0.65,4,272832,all,2.0,2.0,"['Renata Glasc', 'Taric', 'Braum']","['48.35', '48.66', '49.54']","['3812', '1712', '3591']","['Hwei', 'Miss Fortune', 'Pantheon', 'Ashe', 'Malphite']","['60.49', '57.48', '57.12', '56.87', '56.18']","['4055', '1244', '3090', '5381', '1472']",2.0
21,Fiddlesticks,2.333,support,52.01,0.47,1.85,1,79633,all,2.0,,"['Shaco', 'Xerath', 'Maokai', 'Taric', 'Bard']","['46.29', '46.79', '47.83', '48.27', '48.6']","['674', '2753', '690', '404', '1354']","['Hwei', 'Miss Fortune', 'Malphite', 'Teemo', 'Veigar']","['61.04', '61.02', '60.42', '58.56', '56.29']","['1209', '508', '427', '374', '334']",2.1665
22,Heimerdinger,2.333,support,50.88,1.25,1.66,1,213192,all,2.0,4.0,"['Xerath', 'Maokai', 'Shaco', 'Bard', 'Milio']","['46.24', '47.57', '47.99', '48.12', '48.21']","['6795', '1707', '1619', '2733', '3213']","['Hwei', 'Tahm Kench', 'Braum', 'Veigar', 'Thresh']","['58.7', '57.14', '53.19', '52.96', '52.89']","['2964', '1071', '2051', '829', '13685']",2.7776666666666667
23,Elise,2.333,support,51.6,0.04,1.02,0,7043,all,2.0,,"['Alistar', 'Sona', ""Vel'Koz"", 'Heimerdinger', 'Renata Glasc']","['45.16', '45.26', '45.95', '46', '47.01']","['155', '95', '74', '50', '117']","['Braum', 'Neeko', 'Amumu', 'Zilean', 'Yuumi']","['65.91', '61.76', '61.76', '60.61', '59.26']","['88', '68', '34', '66', '189']",2.1665
24,Galio,2.333,support,50.93,0.55,0.38,1,94403,all,3.0,4.0,"['Taric', 'Janna', 'Soraka', 'Swain', 'Senna']","['46.34', '47.52', '47.99', '48.11', '48.18']","['505', '1791', '2042', '2122', '4948']","['Hwei', 'Ziggs', 'Yuumi', 'Tahm Kench', 'Seraphine']","['60.29', '57.53', '54.72', '54.11', '53.81']","['1521', '299', '2162', '499', '2152']",3.111
25,Sona,2.333,support,51.11,2.38,0.11,3,405112,all,2.0,3.0,"['Maokai', 'Galio', 'Amumu', 'Blitzcrank', 'Taric']","['46.74', '47.22', '47.81', '48.09', '48.2']","['3269', '1152', '1439', '13861', '2384']","['Hwei', 'Miss Fortune', 'Yuumi', 'Lulu', 'Veigar']","['60.26', '56.88', '54', '53.92', '53.83']","['6563', '1693', '10961', '12653', '1555']",2.4443333333333332
26,Milio,2.333,support,51.05,3.47,1.14,4,591080,all,2.0,2.0,"['Blitzcrank', 'Maokai', 'Braum', 'Rakan', 'Senna']","['47.14', '48.24', '48.36', '48.75', '48.78']","['23195', '5166', '8168', '28244', '36549']","['Hwei', 'Miss Fortune', 'Veigar', 'Pantheon', 'Yuumi']","['61.59', '60.44', '55.24', '54.3', '54.16']","['8681', '2227', '1926', '5827', '16285']",2.111
27,Swain,2.333,support,50.22,4.11,3.78,1,699214,all,2.0,3.0,"['Brand', 'Zyra', 'Milio', 'Janna', 'Zilean']","['45.45', '45.8', '46.45', '46.57', '46.63']","['22555', '24745', '10791', '11922', '6448']","['Hwei', 'Malphite', 'Nautilus', 'Rell', 'Miss Fortune']","['56.83', '55.91', '54.37', '54.19', '53.87']","['10734', '4198', '33760', '8653', '3217']",2.4443333333333332
28,Teemo,2.666,support,51.54,0.87,10.21,1,147885,all,3.0,4.0,"['Amumu', 'Maokai', 'Renata Glasc', 'Sona', 'Janna']","['47.59', '47.67', '47.89', '48.16', '48.45']","['601', '1288', '1468', '1902', '2452']","['Hwei', 'Twitch', 'Veigar', 'Yuumi', 'Miss Fortune']","['60.41', '57.78', '55.62', '55.15', '54.16']","['2344', '765', '730', '4087', '962']",3.222
29,Nami,2.666,support,50.6,4.69,0.28,3,797809,all,2.0,2.0,"['Maokai', 'Teemo', 'Zyra', 'Amumu', 'Blitzcrank']","['46.38', '47.07', '47.7', '48.1', '48.29']","['7008', '3121', '32111', '2892', '29720']","['Hwei', 'Miss Fortune', 'Ziggs', 'Veigar', 'Swain']","['59.98', '55.53', '55.19', '54.62', '53.18']","['12968', '2831', '1928', '2671', '16261']",2.222
30,LeBlanc,2.666,support,50.35,0.49,7.0,0,83700,all,3.0,,"['Maokai', 'Milio', 'Shaco', 'Teemo', 'Sona']","['45.56', '45.93', '46.84', '47.27', '47.34']","['709', '1487', '681', '385', '714']","['Veigar', 'Ziggs', 'Hwei', 'Miss Fortune', 'Karma']","['59.19', '58.7', '57.8', '57.36', '54.18']","['321', '247', '1173', '591', '2429']",2.833
31,Zoe,2.666,support,49.61,0.32,1.03,0,53649,all,3.0,,"['Shaco', 'Sona', 'Tahm Kench', 'Taric', 'Alistar']","['42.13', '44.06', '45.06', '45.11', '45.43']","['356', '690', '253', '235', '973']","['Veigar', 'Hwei', 'Miss Fortune', 'Karma', 'Yuumi']","['57.26', '56.55', '55.41', '53.36', '53.28']","['234', '962', '296', '1280', '1295']",2.833
32,Leona,2.666,support,50.99,6.64,5.39,7,1128853,all,2.0,2.0,"['Morgana', 'Shaco', 'Zilean', 'Janna', 'Taric']","['47.33', '47.76', '47.87', '47.88', '48.15']","['56572', '7567', '9467', '25740', '9276']","['Hwei', 'Miss Fortune', 'Yuumi', 'Pantheon', 'Malphite']","['59.86', '57.76', '56.8', '54.09', '53.89']","['16567', '4943', '29646', '12573', '5888']",2.222
33,Kennen,2.666,support,50.36,0.08,0.73,0,12787,all,2.0,,"['Maokai', 'Shaco', 'Galio', 'Miss Fortune', 'Neeko']","['40.19', '42.71', '43.24', '45', '45.71']","['107', '96', '37', '80', '210']","['Hwei', 'Malphite', 'Zilean', 'Veigar', 'Lulu']","['69.08', '55.93', '55.47', '55.1', '53.58']","['207', '59', '128', '49', '405']",2.333
34,Thresh,2.666,support,49.71,10.95,4.06,-3,1862659,all,1.0,2.0,"['Zyra', 'Brand', 'Taric', 'Heimerdinger', 'Xerath']","['45.6', '46.51', '47.11', '47.11', '47.35']","['58534', '49082', '13285', '13685', '65953']","['Hwei', 'Miss Fortune', 'Yuumi', 'Pantheon', 'Malphite']","['57.72', '54.93', '54.44', '52.98', '52.72']","['29228', '7896', '45945', '19994', '8456']",1.8886666666666667
35,Ivern,2.666,support,49.86,0.1,0.7,0,17837,all,3.0,,"['Rell', 'Taric', 'Ziggs', 'Shaco', 'Neeko']","['42.34', '42.74', '44.19', '46.67', '46.93']","['274', '124', '43', '120', '277']","['Malphite', 'Hwei', 'Veigar', 'Milio', 'Galio']","['63.95', '59.8', '58.06', '57.1', '55.56']","['86', '301', '62', '331', '54']",2.833
36,Neeko,3.0,support,49.98,2.95,4.5,0,502014,all,2.0,3.0,"['Zyra', 'Xerath', 'Teemo', 'Ziggs', 'Shaco']","['45.66', '46.86', '46.93', '47.44', '47.48']","['17426', '17995', '2374', '1579', '3671']","['Hwei', 'Yuumi', 'Malphite', 'Miss Fortune', 'Veigar']","['57.53', '53.47', '53.4', '52.95', '52.43']","['7714', '12799', '3135', '2846', '2304']",2.6666666666666665
