position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
35,K'Sante,2.333,top,40.2,1.81,2.85,-7,13314,iron,4.0,5.0,"[""Cho'Gath"", 'Gnar', 'Kayle', 'Dr. Mundo', 'Vayne']","['24.49', '30.77', '33.82', '34', '35.48']","['49', '39', '68', '50', '31']","['Sion', 'Urgot', 'Shen', 'Akali', 'Malphite']","['59.26', '57.97', '57.5', '52.17', '50.76']","['54', '69', '40', '46', '132']",3.7776666666666667
36,Corki,2.333,top,42.91,0.04,0.16,0,268,iron,2.0,,[],[],[],[],[],[],2.1665
37,Udyr,2.333,top,42.44,0.31,0.82,-1,2262,iron,3.0,,"['Sett', 'Teemo', 'Yone', 'Aatrox', 'Garen']","['25.71', '35.29', '46.51', '46.88', '48.89']","['35', '34', '43', '32', '45']","['Nasus', 'Trundle']","['60.61', '52.17']","['33', '46']",2.6665
38,Kennen,2.666,top,42.26,1.31,0.64,-2,9627,iron,3.0,5.0,"['Sion', 'Nasus', ""Cho'Gath"", 'Ornn', 'Dr. Mundo']","['29.03', '36.03', '36.84', '38.89', '39.66']","['31', '136', '38', '36', '58']","['Jayce', 'Fiora', ""K'Sante"", 'Aatrox', 'Tryndamere']","['58.33', '57.14', '56.67', '55.56', '55']","['36', '42', '30', '99', '40']",3.5553333333333335
39,Sion,2.666,top,47.57,2.25,1.46,8,16631,iron,2.0,2.0,"[""K'Sante"", 'Kayle', 'Ornn', 'Olaf', 'Pantheon']","['40.74', '41.24', '44.83', '46.84', '47.69']","['54', '97', '58', '79', '65']","['Kennen', 'Shen', 'Vayne', 'Heimerdinger', 'Malphite']","['70.97', '69.44', '64.71', '62.69', '61.54']","['31', '36', '51', '67', '169']",2.222
40,Swain,2.666,top,44.27,0.35,5.44,0,2593,iron,3.0,,"['Jax', 'Nasus', 'Sett', 'Trundle', 'Yone']","['30', '41.67', '45.1', '45.28', '46.81']","['40', '48', '51', '53', '47']","['Malphite', 'Aatrox', 'Darius']","['57.58', '56.25', '55.1']","['33', '32', '49']",2.833
41,Lee Sin,2.666,top,39.59,0.23,9.61,-1,1662,iron,4.0,,[],[],[],[],[],[],3.333
42,Rammus,2.666,top,45.21,0.16,11.16,0,1179,iron,3.0,,['Trundle'],['42.86'],['35'],[],[],[],2.833
43,Gragas,2.666,top,40.04,0.43,0.42,-2,3142,iron,4.0,,"['Nasus', 'Trundle', 'Illaoi', 'Malphite', 'Mordekaiser']","['26.47', '31.58', '35', '35.48', '35.56']","['34', '57', '40', '31', '45']",['Yone'],['51.67'],['60'],3.333
44,Nasus,2.666,top,47.19,7.48,7.5,25,55136,iron,1.0,1.0,"['Kled', 'Ornn', 'Illaoi', 'Sylas', 'Garen']","['44.32', '44.79', '45.63', '46.67', '47.05']","['88', '192', '721', '105', '1035']","['Kennen', 'Jayce', 'Vayne', 'Pantheon', 'Fiora']","['63.5', '62.68', '62.42', '61.02', '60.76']","['137', '142', '157', '177', '237']",1.5553333333333335
45,Rumble,2.666,top,42.66,1.76,1.07,-3,12960,iron,3.0,4.0,"['Warwick', 'Yorick', 'Volibear', 'Heimerdinger', 'Irelia']","['33.33', '36.05', '38.14', '39.13', '39.66']","['45', '86', '97', '46', '58']","[""K'Sante"", 'Riven', 'Kayle', 'Vayne', 'Ornn']","['62.5', '59.57', '57.75', '56.76', '56.41']","['32', '47', '71', '37', '39']",3.222
46,Kayle,2.666,top,46.1,3.47,1.49,7,25622,iron,2.0,2.0,"['Varus', 'Warwick', 'Sylas', 'Tahm Kench', 'Rumble']","['40', '40.35', '40.43', '42.4', '42.86']","['35', '57', '47', '125', '70']","[""K'Sante"", 'Singed', 'Gangplank', 'Renekton', 'Riven']","['66.18', '63.46', '62.79', '61.31', '60.87']","['68', '52', '86', '137', '92']",2.222
47,Karma,2.666,top,41.67,0.14,0.72,0,1003,iron,4.0,,[],[],[],[],[],[],3.333
48,Tahm Kench,2.666,top,44.77,2.31,1.97,1,17061,iron,2.0,3.0,"['Sylas', 'Sion', 'Yorick', 'Trundle', 'Heimerdinger']","['36.11', '40.96', '41.67', '42.8', '44']","['36', '83', '108', '271', '50']","['Akali', 'Vayne', 'Renekton', 'Irelia', ""K'Sante""]","['62.5', '61.4', '59.6', '59.57', '59.26']","['64', '57', '99', '94', '54']",2.5553333333333335
49,Azir,3.0,top,40.63,0.09,0.9,0,662,iron,5.0,,[],[],[],[],[],[],4.0
50,Alistar,3.0,top,40.85,0.1,1.2,0,710,iron,2.0,,[],[],[],[],[],[],2.5
51,Maokai,3.0,top,43.94,0.26,0.61,0,1923,iron,3.0,,"['Trundle', 'Aatrox']","['45', '46.67']","['40', '30']","['Jax', 'Sett', 'Yone']","['53.49', '51.52', '51.28']","['43', '33', '39']",3.0
