grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,champion_name,tier,lane
,"['urgot', 'tryndamere', 'gragas', 'kled', 'nasus']","['38.16', '38.78', '39.13', '40', '40.51']","['76', '98', '46', '55', '237']","['vayne', 'heimerdinger', 'gangplank', 'gnar', 'rumble']","['61.4', '58.93', '56.57', '55.24', '55.1']","['114', '56', '99', '105', '98']",annie,all,top
,"['zac', 'rengar', 'ornn', 'irelia', 'drmundo']","['40.63', '41.44', '43.82', '44.29', '44.32']","['160', '222', '874', '1506', '731']","['heimerdinger', 'varus', 'gwen', 'quinn', 'sylas']","['54.07', '53.92', '53.88', '53.7', '52.52']","['381', '332', '811', '473', '497']",ryze,all,top
,"['ornn', 'kayle', 'shen', 'drmundo', 'teemo']","['31.15', '35.09', '37.5', '38.33', '39.47']","['61', '57', '40', '60', '76']","['singed', 'riven', 'yone', 'yorick', 'yasuo']","['56.82', '56.29', '55.86', '55.56', '55.56']","['44', '151', '222', '63', '63']",reksai,all,top
2,"['trundle', 'singed', 'kayle', 'zac', 'nasus']","['45.74', '46.29', '46.39', '46.79', '46.81']","['53084', '7034', '14460', '2193', '28889']","['sylas', 'rumble', 'yasuo', 'yone', 'irelia']","['55.53', '54.41', '54.36', '53.59', '53.33']","['4662', '8784', '12942', '49941', '20267']",sett,all,top
5,"['singed', 'drmundo', 'poppy', 'yorick', 'garen']","['40.67', '43.58', '44.29', '44.58', '44.58']","['1136', '1751', '858', '2084', '6023']","['akali', 'sylas', 'yasuo', 'monkeyking', 'jayce']","['52.38', '51.66', '51.07', '50.77', '50.75']","['2119', '1057', '1686', '455', '3978']",gragas,all,top
4,"['nasus', 'malphite', 'ornn', 'olaf', 'drmundo']","['43.69', '44.96', '45.47', '45.96', '46.13']","['14290', '16069', '7259', '5298', '5602']","['volibear', 'gragas', 'yone', 'ksante', 'renekton']","['53.04', '52.37', '51.7', '51.55', '50.99']","['9781', '2093', '19370', '7950', '10066']",gnar,all,top
5,"['urgot', 'rengar', 'singed', 'nasus', 'illaoi']","['42.28', '42.51', '42.65', '43.56', '43.93']","['4756', '1623', '3034', '11717', '9458']","['gwen', 'yone', 'olaf', 'ksante']","['51.85', '50.49', '50.32', '50.21']","['8355', '28639', '4505', '6982']",akali,all,top
5,"['heimerdinger', 'kayle', 'ornn', 'yorick', 'singed']","['44.19', '44.68', '44.99', '45.14', '45.45']","['1333', '4454', '6203', '5148', '2266']","['renekton', 'gragas', 'sylas', 'akali']","['51.46', '51.01', '50.99', '50.22']","['7705', '1533', '2177', '5574']",rumble,all,top
3,"['kayle', 'quinn', 'vayne', 'teemo', 'heimerdinger']","['42.94', '43.71', '45.31', '45.59', '45.81']","['11849', '5214', '5173', '15399', '2401']","['yasuo', 'irelia', 'udyr', 'ksante', 'sylas']","['54.55', '54.29', '54.13', '53.6', '52.97']","['8370', '13493', '1818', '10736', '3213']",volibear,all,top
,"['singed', 'ornn', 'chogath', 'mordekaiser', 'camille']","['38.5', '38.59', '38.82', '39.81', '41.48']","['226', '355', '340', '849', '569']","['yasuo', 'quinn', 'yone', 'irelia', 'rengar']","['64.29', '59.32', '56.29', '56.07', '55.4']","['815', '322', '3249', '906', '139']",rammus,all,top
3,"['gwen', 'drmundo', 'fiora', 'zac', 'trundle']","['45.34', '45.37', '45.5', '45.83', '45.94']","['17815', '8281', '16705', '1342', '29148']","['akali', 'heimerdinger', 'teemo', 'yasuo', 'gangplank']","['55.92', '54.87', '54.86', '54.82', '54.4']","['7109', '2546', '19177', '6975', '10854']",sion,all,top
,"['singed', 'olaf', 'udyr', 'kled', 'garen']","['42.37', '44.61', '45.26', '46.83', '46.93']","['472', '742', '137', '378', '2659']","['vladimir', 'rumble', 'kennen', 'gragas', 'warwick']","['60', '58.18', '57.66', '57.44', '55.81']","['480', '648', '529', '289', '396']",malzahar,all,top
5,"['singed', 'zac', 'nasus', 'malphite', 'garen']","['41.62', '43.22', '43.72', '43.72', '44.05']","['2972', '1032', '12337', '13698', '16877']","['sylas', 'heimerdinger', 'gwen', 'vladimir', 'rumble']","['54.21', '53.82', '52.23', '51.7', '51.42']","['3134', '2122', '7107', '1789', '4284']",yasuo,all,top
3,"['garen', 'trundle', 'warwick', 'urgot', 'malphite']","['44.23', '44.68', '44.79', '45.54', '45.64']","['67111', '81439', '12026', '16777', '51226']","['gwen', 'rumble', 'mordekaiser', 'sylas', 'heimerdinger']","['52.42', '51.68', '51.67', '51.33', '51.26']","['23333', '15439', '37086', '8611', '5692']",yone,all,top
,"['poppy', 'tryndamere', 'zac', 'nasus', 'kled']","['38.97', '41.85', '41.98', '42.03', '42.31']","['290', '755', '162', '1311', '364']","['heimerdinger', 'varus', 'jayce', 'sylas', 'rengar']","['54.84', '53.14', '51.98', '51.74', '51.65']","['186', '271', '1772', '288', '182']",graves,all,top
,"['quinn', 'poppy', 'kennen', 'trundle', 'jayce']","['37.56', '41.03', '41.1', '41.18', '42.04']","['197', '195', '219', '1996', '735']","['monkeyking', 'vladimir', 'gragas', 'sion', 'gwen']","['56.84', '54.48', '54.12', '52.53', '52.18']","['95', '145', '194', '1009', '665']",kayn,all,top
4,"['zac', 'malphite', 'yorick', 'ornn', 'drmundo']","['42.72', '43.46', '44.43', '44.57', '44.7']","['859', '13325', '7104', '6264', '5058']","['yone', 'sylas', 'yasuo', 'kennen', 'vayne']","['52.62', '52.4', '52.23', '52.22', '51.8']","['22626', '2084', '6130', '2859', '2971']",pantheon,all,top
