grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,champion_name,tier,lane
3,"['anivia', 'swain', 'xerath', 'kassadin', 'ziggs']","['40.94', '41.09', '42.7', '44.06', '44.87']","['149', '129', '274', '143', '78']","['malphite', 'chogath', 'zoe', 'hwei', 'leblanc']","['66.67', '59.62', '58.13', '57.27', '57.04']","['75', '52', '160', '784', '433']",galio,gold,mid
,"['yone', 'ahri', 'syndra']","['41.67', '47.22', '47.5']","['72', '36', '40']","['katarina', 'sylas', 'yasuo', 'akali', 'orianna']","['75', '70.83', '69.09', '61.73', '61.54']","['32', '72', '55', '81', '65']",zac,gold,mid
,"['annie', 'leblanc', 'qiyana', 'pantheon', 'jayce']","['41.18', '41.38', '42.5', '43.18', '44']","['34', '58', '40', '44', '50']","['xerath', 'viktor', 'akali', 'sylas', 'hwei']","['63.93', '63.27', '61.97', '60.43', '59.9']","['61', '49', '213', '187', '202']",riven,gold,mid
3,"['naafiri', 'fizz', 'viktor', 'irelia', 'velkoz']","['38.71', '42.86', '43.64', '43.95', '44.16']","['124', '553', '220', '314', '77']","['rumble', 'vladimir', 'tristana', 'hwei', 'taliyah']","['65.71', '61.38', '60.47', '60.17', '57.5']","['35', '246', '86', '841', '40']",brand,gold,mid
,"['galio', 'vex', 'malphite', 'leblanc', 'twistedfate']","['34.62', '40.22', '41.46', '42.47', '43.18']","['52', '92', '41', '73', '88']","['kassadin', 'zoe', 'annie', 'jayce', 'qiyana']","['69.44', '65', '63.33', '61.54', '59.62']","['36', '40', '30', '65', '52']",tryndamere,gold,mid
2,"['heimerdinger', 'talon', 'velkoz', 'anivia', 'swain']","['36.07', '41.75', '42.86', '44.64', '44.68']","['61', '285', '70', '112', '94']","['hwei', 'brand', 'zoe', 'diana', 'taliyah']","['63.76', '61.29', '60.59', '59.32', '59.09']","['1148', '124', '170', '177', '66']",naafiri,gold,mid
,"['akshan', 'azir', 'neeko', 'vladimir', 'twistedfate']","['28.13', '39.02', '44.12', '45.95', '47.06']","['32', '41', '34', '37', '51']","['jayce', 'pantheon', 'hwei', 'malphite', 'vex']","['68', '67.5', '66.25', '62.5', '61.19']","['50', '40', '160', '32', '67']",quinn,gold,mid
3,"['gangplank', 'velkoz', 'malzahar', 'brand', 'anivia']","['32.35', '42.47', '43.37', '43.4', '45.1']","['34', '73', '332', '106', '102']","['rumble', 'hwei', 'aurelionsol', 'azir', 'talon']","['66.67', '58.94', '57.64', '56.22', '55.65']","['39', '643', '144', '217', '230']",cassiopeia,gold,mid
4,"['aurelionsol', 'viktor', 'neeko', 'akshan', 'veigar']","['42.86', '43.75', '45.45', '45.76', '45.76']","['84', '80', '77', '59', '236']","['ryze', 'kassadin', 'naafiri', 'jayce', 'leblanc']","['66', '65.57', '63.93', '62.32', '61.8']","['50', '61', '61', '69', '89']",heimerdinger,gold,mid
2,"['rumble', 'naafiri', 'swain', 'kassadin', 'irelia']","['44.59', '44.93', '45.03', '46.09', '46.59']","['74', '296', '191', '358', '734']","['hwei', 'gangplank', 'qiyana', 'corki', 'malphite']","['60.28', '57.89', '56.31', '56', '55.84']","['2029', '114', '309', '125', '154']",twistedfate,gold,mid
3,"['velkoz', 'kassadin', 'swain', 'viktor', 'xerath']","['40.91', '43.48', '45.28', '46.25', '46.94']","['66', '161', '106', '307', '392']","['corki', 'vex', 'pantheon', 'malphite', 'lissandra']","['67.16', '62.6', '61.97', '61.54', '60.91']","['67', '369', '142', '52', '197']",anivia,gold,mid
3,"['brand', 'taliyah', 'anivia', 'heimerdinger', 'annie']","['38.62', '38.89', '39.26', '40.24', '42.33']","['246', '72', '242', '82', '189']","['qiyana', 'chogath', 'hwei', 'leblanc', 'tristana']","['61.09', '59.14', '54.94', '54.88', '54.79']","['221', '93', '1416', '543', '146']",vladimir,gold,mid
,['zed'],['47.37'],['38'],"['akali', 'yasuo', 'sylas', 'yone', 'hwei']","['65.63', '57.14', '54.72', '54.55', '52.94']","['32', '49', '53', '66', '34']",ornn,gold,mid
,"['naafiri', 'veigar', 'talon', 'aurelionsol', 'irelia']","['33.33', '36.84', '41.3', '44.74', '45.16']","['30', '76', '46', '38', '31']","['lux', 'malzahar', 'katarina', 'twistedfate', 'ahri']","['60', '59.38', '59.09', '57.69', '57.45']","['60', '64', '66', '52', '94']",graves,gold,mid
3,"['malphite', 'lissandra', 'corki', 'neeko', 'anivia']","['36.76', '41.85', '41.86', '42.79', '44']","['136', '184', '86', '201', '150']","['taliyah', 'swain', 'velkoz', 'azir', 'hwei']","['60.66', '60.32', '56.92', '55.2', '55.17']","['61', '63', '65', '250', '1055']",akshan,gold,mid
2,"['fizz', 'naafiri', 'velkoz', 'annie', 'swain']","['44.68', '45.44', '45.61', '46.62', '46.85']","['3113', '559', '399', '607', '397']","['hwei', 'chogath', 'orianna', 'ryze', 'taliyah']","['60.64', '55.68', '53.47', '53.06', '52.68']","['4878', '185', '4806', '605', '205']",syndra,gold,mid
3,"['anivia', 'swain', 'heimerdinger', 'malphite', 'gangplank']","['38.03', '40.19', '40.28', '41.38', '42.06']","['142', '107', '72', '145', '107']","['qiyana', 'leblanc', 'hwei', 'naafiri', 'tristana']","['56.6', '55.2', '54.73', '54.26', '54.13']","['235', '404', '1025', '188', '109']",pantheon,gold,mid
2,"['fizz', 'cassiopeia', 'corki', 'qiyana', 'rumble']","['40.26', '42.36', '43.24', '43.32', '44.44']","['842', '144', '74', '217', '45']","['taliyah', 'hwei', 'ryze', 'chogath', 'azir']","['60.81', '60.31', '59.69', '57.69', '57.53']","['74', '1426', '191', '78', '299']",aurelionsol,gold,mid
,"['naafiri', 'neeko', 'aurelionsol', 'anivia', 'twistedfate']","['31.25', '33.33', '39.47', '41.18', '41.94']","['32', '33', '38', '34', '62']","['hwei', 'brand', 'yasuo', 'azir', 'vladimir']","['61.78', '61.11', '60.31', '60', '59.02']","['191', '36', '320', '60', '61']",nasus,gold,mid
,"['neeko', 'vladimir', 'xerath', 'akshan', 'aurelionsol']","['30.23', '37.04', '38.71', '40', '42.86']","['43', '54', '62', '30', '42']","['azir', 'qiyana', 'twistedfate', 'brand', 'leblanc']","['67.24', '64.29', '62.12', '58.97', '57.43']","['58', '56', '66', '39', '101']",kennen,gold,mid
,"['fizz', 'sylas']","['40.54', '44.64']","['37', '56']","['katarina', 'hwei', 'syndra', 'yone', 'yasuo']","['66.67', '66', '65.96', '64.44', '58.14']","['36', '50', '47', '90', '86']",kled,gold,mid
,"['ahri', 'fizz', 'syndra', 'veigar', 'akali']","['39.51', '41.54', '46.58', '47.37', '47.67']","['81', '65', '73', '57', '86']","['lux', 'vex', 'katarina', 'sylas', 'hwei']","['60.98', '58.54', '53.85', '52.81', '52.46']","['41', '41', '65', '89', '122']",karthus,gold,mid
,"['neeko', 'azir', 'lux', 'vex', 'ahri']","['43.18', '44.07', '45.57', '45.88', '47.47']","['44', '59', '79', '85', '158']","['leblanc', 'cassiopeia', 'xerath', 'twistedfate', 'orianna']","['72.37', '63.64', '63.38', '61.33', '61.08']","['76', '33', '71', '75', '167']",garen,gold,mid
3,"['diana', 'irelia', 'kassadin', 'fizz', 'viktor']","['42.07', '44.51', '45.45', '45.48', '46.49']","['145', '319', '165', '675', '271']","['zoe', 'azir', 'hwei', 'vladimir', 'ryze']","['59.88', '58.95', '57.75', '57.67', '57.27']","['167', '190', '826', '189', '110']",annie,gold,mid
3,"['swain', 'corki', 'rumble', 'anivia', 'diana']","['37.42', '40.7', '41.38', '42.79', '42.86']","['155', '86', '58', '208', '224']","['gangplank', 'hwei', 'akshan', 'azir', 'malphite']","['58.9', '57.5', '57.21', '55.8', '55.56']","['73', '1294', '201', '371', '99']",neeko,gold,mid
3,"['heimerdinger', 'jayce', 'tristana', 'qiyana', 'cassiopeia']","['34.43', '43.52', '44.62', '46.05', '46.22']","['61', '216', '186', '152', '119']","['taliyah', 'velkoz', 'hwei', 'ziggs', 'azir']","['64.44', '60.67', '59.04', '58.33', '58.1']","['45', '89', '1123', '96', '210']",kassadin,gold,mid
,"['katarina', 'orianna', 'yasuo', 'fizz', 'zed']","['39.39', '41.3', '42.62', '48.72', '49.21']","['33', '46', '61', '39', '63']","['hwei', 'akali', 'veigar', 'irelia', 'yone']","['66.67', '62', '56.67', '55.88', '55.38']","['54', '100', '30', '34', '65']",fiddlesticks,gold,mid
3,"['naafiri', 'anivia', 'swain', 'kassadin', 'ziggs']","['40.68', '41.33', '41.86', '45.26', '45.71']","['177', '150', '86', '190', '105']","['hwei', 'zoe', 'malphite', 'annie', 'qiyana']","['60.87', '60.67', '59.74', '57.93', '57.36']","['1242', '150', '77', '145', '197']",diana,gold,mid
2,"['anivia', 'velkoz', 'chogath', 'viktor', 'aurelionsol']","['37.4', '44.06', '46', '46.06', '46.17']","['369', '202', '100', '762', '457']","['hwei', 'qiyana', 'leblanc', 'corki', 'pantheon']","['60.01', '59.86', '58.36', '57.42', '56.9']","['2278', '416', '1388', '155', '478']",vex,gold,mid
,"['galio', 'xerath', 'aurelionsol', 'viktor', 'leblanc']","['35.29', '37.5', '38.1', '39.22', '44.93']","['34', '48', '42', '51', '69']","['syndra', 'ekko', 'hwei', 'zed', 'twistedfate']","['64.84', '61.7', '60.85', '59.28', '59.26']","['128', '47', '212', '167', '54']",kayle,gold,mid
,"['ekko', 'vladimir', 'xerath', 'viktor', 'aurelionsol']","['29.41', '36.36', '38.89', '41.94', '43.33']","['34', '44', '54', '31', '30']","['hwei', 'akshan', 'talon', 'jayce', 'orianna']","['59.3', '57.58', '54.35', '54.05', '53.54']","['172', '33', '46', '37', '99']",twitch,gold,mid
1,"['taliyah', 'annie', 'viktor', 'xerath', 'swain']","['42.64', '46.59', '46.83', '47.31', '48.03']","['197', '498', '961', '1173', '356']","['azir', 'hwei', 'qiyana', 'ahri', 'velkoz']","['60.94', '60.57', '55.13', '54.54', '54.43']","['809', '3424', '595', '2532', '305']",veigar,gold,mid
,"['fizz', 'azir', 'xerath', 'akali', 'veigar']","['40.63', '42.42', '45.16', '45.78', '49.02']","['64', '33', '31', '83', '51']","['vex', 'lux', 'katarina', 'irelia', 'syndra']","['72.5', '66.67', '64.1', '62.5', '61.43']","['40', '36', '39', '32', '70']",zilean,gold,mid
,"['aurelionsol', 'diana', 'xerath', 'irelia', 'zed']","['32.65', '37.14', '37.18', '41.84', '42.19']","['49', '35', '78', '98', '192']","['annie', 'jayce', 'hwei', 'tristana', 'pantheon']","['64.71', '64.06', '62.87', '60', '59.7']","['34', '64', '237', '35', '67']",teemo,gold,mid
3,"['heimerdinger', 'chogath', 'taliyah', 'velkoz', 'vex']","['37.68', '38.18', '42.25', '44.58', '45.23']","['69', '55', '71', '83', '535']","['kassadin', 'hwei', 'rumble', 'ekko', 'ryze']","['56.48', '56.16', '54.95', '54.55', '53.92']","['216', '1234', '111', '330', '204']",jayce,gold,mid
1,"['aurelionsol', 'galio', 'taliyah', 'talon', 'annie']","['44.13', '44.58', '45.96', '46.29', '46.88']","['784', '507', '198', '875', '369']","['malphite', 'hwei', 'zoe', 'yasuo', 'leblanc']","['58.21', '58.01', '58.01', '56.88', '56.85']","['201', '2841', '493', '3377', '971']",malzahar,gold,mid
,"['naafiri', 'xerath', 'malphite', 'twistedfate', 'akshan']","['38.89', '40.79', '41.3', '42.86', '44.19']","['36', '76', '46', '70', '43']","['hwei', 'fizz', 'kassadin', 'orianna', 'talon']","['57.64', '57.14', '57.14', '56.05', '55.86']","['203', '140', '35', '223', '111']",aatrox,gold,mid
,"['ryze', 'ekko', 'xerath', 'leblanc', 'veigar']","['33.33', '35.42', '36.59', '39.62', '40.32']","['30', '48', '41', '53', '62']","['lissandra', 'aurelionsol', 'viktor', 'pantheon', 'galio']","['60.61', '58.33', '58.06', '57.14', '56.67']","['33', '36', '31', '49', '30']",renekton,gold,mid
,"['zed', 'yone', 'yasuo', 'sylas', 'orianna']","['43.9', '45', '46.81', '47.83', '48.78']","['41', '60', '47', '46', '41']","['hwei', 'akali', 'ahri']","['57.14', '53.49', '52.78']","['35', '43', '36']",kalista,gold,mid
,"['malzahar', 'lux', 'viktor', 'xerath', 'aurelionsol']","['37.97', '40.98', '41.18', '41.86', '43.24']","['79', '61', '51', '43', '37']","['vex', 'kassadin', 'diana', 'naafiri', 'hwei']","['66.67', '60', '58.7', '57.89', '57.14']","['69', '35', '46', '38', '154']",sett,gold,mid
2,"['xerath', 'akali', 'diana', 'swain', 'cassiopeia']","['45.56', '46.22', '46.69', '46.82', '47.48']","['665', '1495', '317', '173', '238']","['chogath', 'hwei', 'brand', 'heimerdinger', 'azir']","['60.53', '59.04', '56.36', '56.25', '56.1']","['76', '1665', '220', '80', '549']",viktor,gold,mid
4,"['malphite', 'brand', 'chogath', 'xerath', 'velkoz']","['38.67', '39.53', '43.33', '44.67', '45.16']","['75', '86', '30', '197', '62']","['hwei', 'taliyah', 'corki', 'ziggs', 'zoe']","['59.5', '58.06', '57.5', '56.76', '56.25']","['637', '31', '40', '74', '112']",tristana,gold,mid
1,"['malzahar', 'swain', 'lissandra', 'gangplank', 'malphite']","['43.12', '43.15', '43.49', '43.67', '43.75']","['3377', '679', '1837', '458', '1024']","['hwei', 'akshan', 'tristana', 'zoe', 'ryze']","['57.47', '54.67', '54.42', '52.51', '51.95']","['6351', '792', '441', '996', '874']",yasuo,gold,mid
2,"['kassadin', 'chogath', 'rumble', 'galio', 'vex']","['42.23', '42.49', '45.12', '45.22', '45.4']","['843', '193', '164', '785', '1434']","['hwei', 'zoe', 'taliyah', 'orianna', 'ziggs']","['61.06', '56.59', '55.32', '53.55', '53.41']","['3885', '569', '141', '2000', '352']",katarina,gold,mid
4,"['cassiopeia', 'brand', 'fizz', 'ryze', 'ekko']","['33.33', '34.29', '44.38', '44.44', '44.71']","['39', '35', '169', '54', '85']","['hwei', 'gangplank', 'qiyana', 'ahri', 'neeko']","['67.58', '61.29', '60.38', '59', '58.62']","['219', '31', '53', '239', '58']",rumble,gold,mid
,"['malzahar', 'veigar', 'sylas', 'syndra', 'katarina']","['39.02', '41.18', '42.65', '46.34', '46.67']","['41', '34', '68', '41', '30']","['irelia', 'hwei', 'orianna', 'akali', 'lux']","['68.75', '61.4', '60.32', '57.41', '56.67']","['32', '57', '63', '54', '30']",tahmkench,gold,mid
,"['aurelionsol', 'zoe', 'viktor', 'malzahar', 'talon']","['34.21', '36.67', '41.86', '42.53', '44.93']","['38', '30', '43', '87', '69']","['akshan', 'lissandra', 'vladimir', 'galio', 'azir']","['65.79', '64.44', '64.41', '63.33', '61.36']","['38', '45', '59', '30', '44']",mordekaiser,gold,mid
,"['ryze', 'diana', 'anivia', 'malzahar', 'lissandra']","['35.48', '35.85', '36.36', '37.5', '41.86']","['31', '53', '33', '88', '43']","['hwei', 'akshan', 'irelia', 'yasuo', 'leblanc']","['61.46', '57.14', '54.55', '54.44', '54.29']","['192', '42', '99', '259', '70']",gragas,gold,mid
,"['orianna', 'akali', 'hwei', 'syndra', 'fizz']","['37.04', '40.96', '44.9', '46', '46']","['54', '83', '49', '50', '50']","['katarina', 'talon', 'yone', 'irelia', 'vex']","['65.63', '60', '55.65', '54.55', '54.55']","['32', '35', '124', '55', '33']",ksante,gold,mid
4,"['kassadin', 'akshan', 'ryze', 'xerath', 'fizz']","['39.33', '43.08', '43.08', '43.56', '44.52']","['89', '65', '65', '202', '292']","['zoe', 'gangplank', 'anivia', 'hwei', 'swain']","['66.67', '62.16', '59.09', '57.89', '57.69']","['78', '37', '66', '596', '52']",velkoz,gold,mid
5,"['chogath', 'malphite', 'vladimir', 'rumble', 'vex']","['32.56', '34.97', '38.91', '39.62', '40.14']","['43', '143', '221', '53', '416']","['corki', 'hwei', 'aurelionsol', 'kassadin', 'zoe']","['59.18', '57.06', '56.68', '53.95', '53.33']","['49', '1062', '217', '152', '150']",qiyana,gold,mid
,"['syndra', 'yone']","['33.33', '46.75']","['30', '77']","['hwei', 'sylas', 'akali', 'orianna', 'fizz']","['66.67', '65.52', '54.9', '53.13', '52.5']","['39', '58', '51', '32', '40']",urgot,gold,mid
,"['yone', 'yasuo']","['42.55', '43.24']","['47', '37']","['hwei', 'zed', 'sylas']","['64.52', '58.14', '53.85']","['31', '43', '39']",shen,gold,mid
1,"['heimerdinger', 'galio', 'lissandra', 'taliyah', 'aurelionsol']","['42.09', '44.73', '45.94', '45.95', '46.34']","['297', '1708', '1589', '383', '984']","['hwei', 'gangplank', 'corki', 'viktor', 'leblanc']","['56.76', '55.91', '53.83', '53.78', '52.87']","['5372', '406', '405', '1495', '2557']",akali,gold,mid
2,"['heimerdinger', 'ryze', 'corki', 'rumble', 'kassadin']","['44.21', '44.58', '45.28', '45.53', '45.57']","['285', '590', '254', '246', '531']","['hwei', 'taliyah', 'brand', 'tristana', 'velkoz']","['58.58', '54.97', '53.24', '53.02', '51.47']","['4288', '151', '524', '447', '272']",zed,gold,mid
,"['twistedfate', 'tristana', 'naafiri', 'diana', 'brand']","['36.04', '43.33', '43.75', '44.62', '45']","['111', '30', '48', '65', '60']","['jayce', 'zoe', 'swain', 'vladimir', 'ziggs']","['60.67', '59.76', '59.46', '59.09', '58.82']","['89', '82', '37', '88', '34']",morgana,gold,mid
,"['katarina', 'diana', 'ahri', 'lux', 'yasuo']","['35.62', '37.14', '41.28', '41.3', '41.36']","['73', '35', '109', '46', '162']","['jayce', 'azir', 'xerath', 'orianna', 'veigar']","['63.64', '58.54', '55.56', '55.38', '54.72']","['44', '41', '36', '186', '53']",nunu,gold,mid
3,"['anivia', 'kassadin', 'velkoz', 'aurelionsol', 'twistedfate']","['39.09', '42.4', '42.53', '43.13', '45.27']","['197', '217', '87', '262', '391']","['hwei', 'zoe', 'akshan', 'yasuo', 'leblanc']","['58.92', '58.3', '58.15', '56.51', '54.76']","['1071', '235', '184', '1837', '809']",lissandra,gold,mid
3,"['galio', 'anivia', 'diana', 'swain', 'malzahar']","['33.33', '38.46', '40.26', '40.35', '41.79']","['75', '52', '77', '57', '201']","['qiyana', 'akshan', 'tristana', 'pantheon', 'irelia']","['65.03', '63.24', '61.33', '58.62', '58.6']","['143', '136', '75', '145', '343']",malphite,gold,mid
,"['vex', 'katarina', 'yone', 'irelia', 'malzahar']","['15.63', '36.73', '38.53', '38.71', '40.48']","['32', '49', '109', '31', '42']","['xerath', 'lux', 'hwei', 'lissandra', 'yasuo']","['69.7', '64', '56.7', '53.33', '52.87']","['33', '50', '97', '30', '87']",pyke,gold,mid
4,"['velkoz', 'diana', 'naafiri', 'annie', 'chogath']","['33.33', '39.33', '39.41', '40.12', '40.54']","['78', '150', '170', '167', '37']","['corki', 'azir', 'hwei', 'rumble', 'orianna']","['61.67', '57.48', '56.86', '52.63', '52.45']","['60', '301', '1101', '38', '736']",zoe,gold,mid
4,"['corki', 'ryze', 'kassadin', 'tristana', 'talon']","['37.21', '41.11', '41.67', '43.24', '44.59']","['43', '90', '96', '74', '157']","['taliyah', 'qiyana', 'zoe', 'hwei', 'malphite']","['62.79', '58.59', '57.98', '57.7', '55.32']","['43', '99', '119', '773', '47']",ziggs,gold,mid
,"['anivia', 'lux', 'pantheon', 'aurelionsol', 'jayce']","['34.21', '34.62', '37.14', '40.48', '42.22']","['38', '78', '35', '42', '45']","['azir', 'leblanc', 'zed', 'cassiopeia', 'akali']","['64.58', '62.5', '60', '60', '58.76']","['48', '56', '130', '30', '177']",sion,gold,mid
5,"['viktor', 'galio', 'ekko', 'vladimir', 'ryze']","['39.47', '40.38', '40.74', '40.86', '40.91']","['76', '52', '81', '93', '44']","['qiyana', 'jayce', 'azir', 'hwei', 'zoe']","['67.44', '61.82', '60.67', '60.43', '59.46']","['43', '55', '89', '278', '37']",chogath,gold,mid
1,"['heimerdinger', 'annie', 'vex', 'velkoz', 'veigar']","['44.97', '45.08', '45.23', '45.48', '46.17']","['398', '925', '3659', '398', '3084']","['hwei', 'ziggs', 'taliyah', 'ryze', 'zoe']","['57.86', '52.5', '52.05', '51.79', '51.59']","['6476', '600', '365', '948', '1072']",yone,gold,mid
,"['kassadin', 'malzahar', 'xerath', 'brand', 'naafiri']","['31.43', '35', '35.21', '35.29', '35.9']","['35', '120', '71', '34', '39']","['zoe', 'hwei', 'orianna', 'veigar', 'akali']","['64.29', '53.78', '53.11', '51.03', '50.88']","['42', '238', '177', '145', '228']",kaisa,gold,mid
,"['twistedfate', 'yasuo', 'akali', 'vex', 'katarina']","['38.71', '39.72', '43.52', '44.44', '45.28']","['31', '141', '108', '36', '53']","['hwei', 'orianna', 'talon', 'sylas', 'leblanc']","['68.13', '64.79', '64.29', '56.86', '56.41']","['91', '71', '42', '102', '39']",gwen,gold,mid
,"['neeko', 'irelia', 'sylas', 'pantheon', 'viktor']","['30.56', '30.56', '39.34', '42.5', '43.59']","['36', '36', '122', '40', '39']","['ahri', 'hwei', 'vladimir', 'jayce', 'talon']","['60.82', '60', '59.46', '59.46', '57.14']","['97', '140', '37', '37', '49']",yorick,gold,mid
2,"['diana', 'tristana', 'xerath', 'aurelionsol', 'ekko']","['42.89', '44.19', '44.42', '44.83', '45.07']","['858', '473', '1990', '948', '1298']","['hwei', 'corki', 'malphite', 'akshan', 'qiyana']","['58.46', '52.76', '52.03', '51.94', '51.86']","['4237', '381', '344', '697', '617']",orianna,gold,mid
,"['xerath', 'vex', 'ahri', 'malzahar', 'twistedfate']","['32.43', '36.36', '38.55', '40.38', '42.86']","['37', '44', '83', '52', '35']","['veigar', 'azir', 'hwei', 'leblanc', 'katarina']","['62.32', '61.11', '60.17', '60', '58.67']","['69', '36', '118', '30', '75']",zyra,gold,mid
4,"['veigar', 'chogath', 'heimerdinger', 'annie', 'kassadin']","['39.06', '39.33', '40.24', '41.05', '41.9']","['809', '89', '82', '190', '210']","['pantheon', 'hwei', 'corki', 'yasuo', 'talon']","['57.76', '54.65', '53.06', '52.4', '51.26']","['277', '1592', '147', '1830', '515']",azir,gold,mid
5,"['talon', 'velkoz', 'rumble', 'neeko', 'twistedfate']","['37.6', '37.84', '38.71', '41.1', '42.11']","['125', '37', '31', '73', '114']","['cassiopeia', 'irelia', 'pantheon', 'yasuo', 'vladimir']","['67.65', '60.9', '57.94', '56.33', '55.91']","['34', '156', '107', '458', '93']",gangplank,gold,mid
3,"['heimerdinger', 'naafiri', 'anivia', 'vex', 'galio']","['38.2', '40.93', '41.42', '41.64', '42.96']","['89', '364', '309', '1388', '433']","['hwei', 'neeko', 'brand', 'malphite', 'velkoz']","['54.09', '52.15', '51.58', '51.15', '51.13']","['1991', '558', '285', '174', '133']",leblanc,gold,mid
,"['ahri', 'vex', 'viktor', 'azir', 'veigar']","['38.3', '39.34', '41.67', '42.22', '42.22']","['94', '61', '36', '45', '90']","['hwei', 'neeko', 'orianna', 'xerath', 'twistedfate']","['61.29', '60.53', '57.83', '57.14', '56']","['186', '38', '83', '49', '50']",seraphine,gold,mid
,"['anivia', 'brand', 'naafiri', 'lissandra', 'ahri']","['28.95', '36.36', '37.21', '38.46', '40.21']","['38', '33', '43', '52', '189']","['kassadin', 'qiyana', 'hwei', 'vladimir', 'ryze']","['67.57', '60.87', '59.52', '58.62', '55.88']","['37', '46', '252', '58', '34']",varus,gold,mid
,"['diana', 'xerath', 'cassiopeia', 'zoe', 'vladimir']","['32.31', '34.13', '36.11', '36.51', '36.59']","['65', '126', '36', '63', '82']","['swain', 'qiyana', 'lissandra', 'hwei', 'aurelionsol']","['56.76', '55', '54.65', '53.71', '53.01']","['37', '60', '86', '391', '83']",ezreal,gold,mid
2,"['heimerdinger', 'rumble', 'brand', 'swain', 'veigar']","['39.83', '41', '43.3', '43.5', '45.46']","['236', '239', '582', '423', '2532']","['hwei', 'gangplank', 'galio', 'pantheon', 'corki']","['57.91', '57.08', '54.59', '53.23', '52.55']","['4191', '240', '676', '744', '333']",ahri,gold,mid
,"['yasuo', 'zed', 'sylas', 'orianna', 'veigar']","['31.51', '45.28', '45.83', '46.67', '47.17']","['73', '53', '72', '45', '53']","['hwei', 'akali', 'vex', 'syndra', 'ahri']","['63.89', '63.16', '61.76', '55.74', '53.33']","['72', '57', '34', '61', '45']",shyvana,gold,mid
5,"['rumble', 'taliyah', 'naafiri', 'xerath', 'fizz']","['32.42', '35.67', '36.24', '36.51', '37.38']","['219', '300', '1148', '2380', '4655']",[],[],[],hwei,gold,mid
4,"['heimerdinger', 'taliyah', 'aurelionsol', 'anivia', 'annie']","['34', '38', '40.31', '42.37', '42.73']","['50', '50', '191', '118', '110']","['chogath', 'ziggs', 'hwei', 'velkoz', 'zoe']","['59.09', '58.89', '58.48', '56.92', '55.64']","['44', '90', '761', '65', '133']",ryze,gold,mid
,"['lux', 'talon', 'akali', 'ahri', 'fizz']","['35.71', '37.14', '38.96', '40.96', '41.54']","['42', '35', '77', '83', '65']","['leblanc', 'katarina', 'malzahar', 'zed', 'yasuo']","['62.5', '59.52', '58.33', '55.56', '54.02']","['32', '42', '48', '72', '87']",karma,gold,mid
,"['akali', 'malzahar', 'vex', 'fizz', 'xerath']","['34.94', '42.5', '43.33', '44.19', '45.16']","['83', '40', '30', '43', '31']","['zed', 'yasuo', 'yone', 'hwei', 'katarina']","['62.86', '62.73', '62.38', '58.75', '55.56']","['70', '110', '101', '80', '54']",xinzhao,gold,mid
,"['ziggs', 'vladimir', 'vex', 'viktor', 'tristana']","['30', '33.96', '34.29', '36', '37.5']","['30', '53', '105', '50', '32']","['qiyana', 'hwei', 'brand', 'pantheon', 'jayce']","['65.12', '57.31', '54.29', '53.66', '51.43']","['43', '253', '35', '41', '70']",caitlyn,gold,mid
,"['sylas', 'fizz', 'yone', 'yasuo', 'syndra']","['42.31', '42.86', '45.07', '45.07', '46.97']","['52', '42', '71', '71', '66']","['ahri', 'xerath', 'zed', 'lux', 'hwei']","['66.67', '59.38', '58.82', '52.94', '52.33']","['48', '32', '34', '34', '86']",kogmaw,gold,mid
,"['katarina', 'fizz', 'yone', 'syndra', 'ahri']","['41.94', '43.14', '44.78', '45', '45.45']","['31', '51', '67', '40', '33']","['zed', 'sylas', 'akali']","['60.94', '56.25', '55.32']","['64', '48', '47']",monkeyking,gold,mid
5,"['anivia', 'zoe', 'qiyana', 'talon', 'tristana']","['32.84', '38.33', '40.82', '42.42', '42.5']","['67', '60', '49', '132', '40']","['ziggs', 'neeko', 'akshan', 'aurelionsol', 'ekko']","['62.79', '59.3', '58.14', '56.76', '55.56']","['43', '86', '86', '74', '117']",corki,gold,mid
,"['vladimir', 'fizz', 'jayce', 'akali', 'aurelionsol']","['27.27', '36', '36.71', '39.18', '39.47']","['33', '175', '79', '245', '38']","['kassadin', 'pantheon', 'hwei', 'qiyana', 'anivia']","['59.57', '58.33', '57.68', '57.5', '55.56']","['47', '48', '241', '40', '45']",lucian,gold,mid
,"['samira', 'missfortune', 'lucian', 'vayne', 'jhin']","['38.36', '46.43', '46.67', '47.71', '49.68']","['73', '140', '75', '109', '155']","['twitch', 'tristana', 'varus', 'kaisa', 'aphelios']","['71.88', '71.43', '57.97', '57.81', '54.76']","['32', '56', '69', '128', '42']",karthus,gold,adc
1,"['swain', 'missfortune', 'kogmaw', 'seraphine', 'twitch']","['47.1', '48.15', '48.54', '49.56', '49.86']","['310', '8716', '857', '339', '3119']","['sivir', 'zeri', 'yasuo', 'aphelios', 'veigar']","['56.58', '56.27', '55.75', '53.85', '53.7']","['1969', '1237', '1087', '2171', '419']",vayne,gold,adc
3,"['seraphine', 'nilah', 'veigar', 'sivir', 'vayne']","['39.34', '40', '43.68', '44.14', '44.25']","['61', '200', '87', '256', '1087']","['draven', 'ezreal', 'zeri', 'ziggs', 'aphelios']","['57.93', '53.32', '53.27', '53.02', '52.79']","['435', '2080', '214', '232', '341']",yasuo,gold,adc
